Administrative District,Year,Total Enrollment,Grade PK (Half Day & Full Day),Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multiple Race Categories Not Represented,% Multiple Race Categories Not Represented,# White,% White,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index
10,2016-17,57844,3860,4256,4379,4584,4413,4367,4289,3764,3696,3775,4828,4225,3719,3689,28184,0.487241536,29660,0.512758434,4228,0.073093146,9202,0.159083053,39943,0.690529704,1065,0.01841159,3406,0.058882512,11396,0.197012648,11890,0.205552861,46194,0.798596203,0.760263264
10,2017-18,56752,3743,4110,4230,4191,4335,4278,4201,3936,3825,3796,4595,4267,3617,3628,27734,0.488687634,29015,0.511259496,4343,0.076525934,8772,0.154567242,39322,0.692874253,854,0.015047927,3461,0.060984634,10846,0.191112205,11730,0.206688747,47181,0.831353962,0.831463099
11,2013-14,39954,1952,3159,3417,3285,3280,3163,3065,2993,3159,3069,3087,2722,1837,1766,18966,0.474695891,20988,0.525304079,2894,0.0724333,16908,0.42318666,16536,0.413875967,643,0.016093507,2973,0.074410573,7484,0.187315419,3739,0.093582623,30229,0.756595075,
11,2014-15,41182,2890,3175,3414,3371,3247,3263,3114,2928,3007,3171,3039,2661,1944,1958,19769,0.480039835,21413,0.519960165,3047,0.073988639,17363,0.421616226,16640,0.404060036,748,0.018163275,3384,0.08217182,7782,0.188966051,3803,0.092346169,30495,0.740493417,0.671613932
11,2015-16,41390,3209,3118,3387,3425,3329,3230,3282,2944,2937,3096,2944,2552,1906,2031,19833,0.47917372,21557,0.52082628,3083,0.074486591,17056,0.412080199,17131,0.413892239,764,0.018458566,3356,0.081082389,8053,0.19456391,3913,0.094539747,29945,0.72348392,0.658597887
11,2016-17,40826,3231,2852,3269,3344,3363,3391,3213,3049,3017,2999,2690,2493,1944,1971,19491,0.477416366,21333,0.522534668,3194,0.078234456,16311,0.399524808,16997,0.416327834,805,0.019717827,3519,0.086195074,8051,0.197202757,4384,0.107382551,29533,0.723387063,0.647479892
11,2017-18,40504,3140,2853,3076,3234,3301,3306,3416,3022,3083,3092,2725,2369,1931,1956,19337,0.477409631,21166,0.522565663,3289,0.081201859,15734,0.388455451,17067,0.421365798,832,0.020541182,3582,0.088435709,7829,0.193289548,4660,0.115050368,31554,0.779034197,0.758308649
12,2013-14,24653,1415,1955,2069,1930,1976,1795,1764,1717,1794,1785,1777,1828,1578,1270,12164,0.493408501,12489,0.506591499,500,0.020281507,6646,0.269581795,16908,0.685839474,316,0.012817913,283,0.011479333,4941,0.200421855,4369,0.177219808,22164,0.899038672,
12,2014-15,25000,1631,1956,2051,2000,1857,1986,1701,1680,1736,1796,1907,1808,1523,1368,12278,0.491120011,12722,0.508880019,542,0.021679999,6633,0.265320003,17054,0.68216002,357,0.01428,414,0.016559999,5154,0.206159994,4521,0.180840001,22277,0.891080022,0.849443018
12,2015-16,24848,1613,1888,1983,2011,1892,1865,1912,1625,1702,1703,1849,1860,1538,1407,12222,0.491870582,12626,0.508129418,571,0.022979716,6349,0.255513519,17302,0.69631356,307,0.012355119,319,0.012838055,5353,0.215429813,4465,0.179692537,21956,0.883612335,0.853494823
