District,Year,Total Enrollment,Grade PK,Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,# Female,% Female,# Male,% Male,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Other,% Other,# White,% White,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty
18,2011-12,18592,675,1247,1431,1421,1594,1667,1604,1463,1451,1534,1229,1336,972,968,9213,0.495535702,9379,0.504464269,191,0.010273236,16804,0.903829575,1217,0.06545826,106,0.005701377,274,0.014737521,2729,0.146783561,1032,0.055507746,15659,0.842243969
18,2012-13,18050,682,1322,1354,1413,1419,1552,1514,1393,1431,1470,1196,1361,953,990,8978,0.497396111,9072,0.502603889,189,0.010470914,16272,0.901495874,1127,0.062437672,132,0.00731302,330,0.018282548,2816,0.156011075,913,0.050581716,15392,0.852742374
18,2013-14,17614,799,1148,1386,1308,1437,1385,1329,1367,1373,1467,1146,1281,1141,1047,8709,0.494436234,8904,0.505506992,198,0.011241058,15662,0.889179051,1157,0.065686382,180,0.010219144,417,0.02367435,2991,0.169808105,895,0.050811853,14856,0.843420029
18,2014-15,17452,1277,1162,1256,1319,1275,1403,1205,1187,1325,1339,1314,1294,1051,1045,8569,0.491003901,8883,0.508996129,213,0.012204905,15318,0.877721727,1270,0.072771028,258,0.014783406,393,0.022518909,2946,0.168805867,815,0.04669952,14450,0.827985346
18,2015-16,16991,1437,1112,1237,1170,1321,1281,1311,1036,1171,1332,1168,1301,1073,1041,8338,0.490730375,8653,0.509269595,213,0.012536049,14842,0.873521268,1225,0.072096996,295,0.017362133,416,0.02448355,2891,0.170148909,758,0.044611853,13474,0.793008089
19,2011-12,25890,1715,1941,2140,2012,2116,2110,1989,1882,1863,1874,1763,1535,1307,1643,12459,0.481228262,13431,0.518771708,1566,0.060486674,13347,0.515527248,10413,0.402201623,233,0.008999614,331,0.012784859,3808,0.147083819,3062,0.1182696,23494,0.90745461
19,2012-13,25374,1671,1973,2082,2030,1959,1923,1983,1812,1800,1847,1853,1621,1184,1636,12145,0.478639543,13229,0.521360457,1583,0.062386695,12876,0.507448554,10284,0.405296773,271,0.010680224,360,0.014187751,4084,0.160952151,2930,0.115472533,23064,0.908961952
19,2013-14,24798,1693,1894,2070,2004,1975,1896,1816,1792,1764,1803,1749,1455,1174,1713,11794,0.475602865,13004,0.524397135,1555,0.062706672,12338,0.497540116,10206,0.411565453,335,0.013509154,364,0.014678603,4560,0.183885798,2791,0.112549402,22518,0.908057094
19,2014-15,24163,2015,1718,1909,1992,1887,1912,1742,1638,1789,1764,1653,1452,1253,1439,11487,0.475396276,12676,0.524603724,1634,0.067624055,11720,0.485039115,10079,0.417125344,343,0.014195257,387,0.016016223,4675,0.193477631,2767,0.114513926,21623,0.894880593
19,2015-16,24062,1976,1871,1878,1892,1948,1904,1879,1577,1666,1776,1740,1394,1053,1508,11479,0.477059275,12583,0.522940755,1715,0.071274206,11410,0.474191666,10178,0.42299062,392,0.016291248,367,0.015252265,4512,0.187515587,2749,0.114246532,20868,0.867259562
